age_group,age_lower,age_upper,gender,distance,stroke,standard_time,standard_seconds
6 & Under,0,6,M,25,Freestyle,35.00,35.00
6 & Under,0,6,F,25,Freestyle,35.00,35.00
6 & Under,0,6,M,25,Backstroke,40.00,40.00
6 & Under,0,6,F,25,Backstroke,40.00,40.00
7-8,7,8,M,25,Freestyle,24.50,24.50
7-8,7,8,F,25,Freestyle,24.50,24.50
7-8,7,8,M,25,Backstroke,29.00,29.00
7-8,7,8,F,25,Backstroke,29.00,29.00
8 & Under,0,8,M,25,Breaststroke,33.00,33.00
8 & Under,0,8,F,25,Breaststroke,33.00,33.00
8 & Under,0,8,M,25,Butterfly,30.00,30.00
8 & Under,0,8,F,25,Butterfly,30.00,30.00
10 & Under,0,10,M,100,IM,1:52.00,112.00
10 & Under,0,10,F,100,IM,1:52.00,112.00
9-10,9,10,M,50,Freestyle,43.00,43.00
9-10,9,10,F,50,Freestyle,43.00,43.00
9-10,9,10,M,50,Breaststroke,57.50,57.50
9-10,9,10,F,50,Breaststroke,57.50,57.50
9-10,9,10,M,50,Backstroke,53.00,53.00
9-10,9,10,F,50,Backstroke,53.00,53.00
9-10,9,10,M,50,Butterfly,56.00,56.00
9-10,9,10,F,50,Butterfly,56.00,56.00
11-12,11,12,M,100,IM,1:38.00,98.00
11-12,11,12,F,100,IM,1:35.25,95.25
11-12,11,12,M,50,Freestyle,36.50,36.50
11-12,11,12,F,50,Freestyle,36.50,36.50
11-12,11,12,M,50,Breaststroke,50.00,50.00
11-12,11,12,F,50,Breaststroke,48.00,48.00
11-12,11,12,M,50,Backstroke,49.00,49.00
11-12,11,12,F,50,Backstroke,46.25,46.25
11-12,11,12,M,50,Butterfly,47.00,47.00
11-12,11,12,F,50,Butterfly,44.50,44.50
13-14,13,14,M,100,IM,1:28.00,88.00
13-14,13,14,F,100,IM,1:29.00,89.00
13-14,13,14,M,50,Freestyle,33.25,33.25
13-14,13,14,F,50,Freestyle,34.75,34.75
13-14,13,14,M,50,Breaststroke,44.50,44.50
13-14,13,14,F,50,Breaststroke,46.00,46.00
13-14,13,14,M,50,Backstroke,43.00,43.00
13-14,13,14,F,50,Backstroke,43.00,43.00
13-14,13,14,M,50,Butterfly,41.00,41.00
13-14,13,14,F,50,Butterfly,40.00,40.00
15-18,15,18,M,100,IM,1:19.50,79.50
15-18,15,18,F,100,IM,1:26.50,86.50
15-18,15,18,M,50,Freestyle,29.50,29.50
15-18,15,18,F,50,Freestyle,32.50,32.50
15-18,15,18,M,50,Breaststroke,39.00,39.00
15-18,15,18,F,50,Breaststroke,45.00,45.00
15-18,15,18,M,50,Backstroke,39.00,39.00
15-18,15,18,F,50,Backstroke,39.50,39.50
15-18,15,18,M,50,Butterfly,34.25,34.25
15-18,15,18,F,50,Butterfly,38.25,38.25
